Left,Right
"[0.5022516250610352, 0.7717706561088562, 3.2933704119386675e-07, 0.5459973216056824, 0.7355815172195435, -0.016380498185753822, 0.5709604620933533, 0.6765907406806946, -0.02609545923769474, 0.5826418399810791, 0.6232593655586243, -0.03376387059688568, 0.589181661605835, 0.5812399387359619, -0.04307929426431656, 0.5447784662246704, 0.6063131093978882, -0.034476056694984436, 0.549523115158081, 0.5218570232391357, -0.05031314864754677, 0.5504515767097473, 0.4700815677642822, -0.06008444353938103, 0.5523080229759216, 0.42654454708099365, -0.06767909973859787, 0.5143157243728638, 0.592936635017395, -0.03542601317167282, 0.5090628862380981, 0.5025365352630615, -0.05394367873668671, 0.5058650970458984, 0.4433187246322632, -0.06802024692296982, 0.5029711723327637, 0.396811842918396, -0.07829928398132324, 0.48728859424591064, 0.6029781103134155, -0.03635207936167717, 0.468778133392334, 0.5216094255447388, -0.05377407744526863, 0.4568614065647125, 0.472711443901062, -0.06626866012811661, 0.44827476143836975, 0.4334492087364197, -0.07500314712524414, 0.46618717908859253, 0.6314350366592407, -0.037515755742788315, 0.4434334933757782, 0.5789601802825928, -0.0529073067009449, 0.42938870191574097, 0.5521770119667053, -0.061191461980342865, 0.42043277621269226, 0.5279097557067871, -0.06677704304456711]",[]
[],"[0.5116002559661865, 0.7253175973892212, 2.475935616530478e-07, 0.5550821423530579, 0.6695458292961121, 0.00963270477950573, 0.5683837532997131, 0.6106927394866943, 0.014700554311275482, 0.5745396614074707, 0.5550341010093689, 0.019099190831184387, 0.5761051774024963, 0.5177443623542786, 0.02353670448064804, 0.5454598665237427, 0.5504326224327087, -0.002842895919457078, 0.5467886328697205, 0.4675735533237457, -0.005257199052721262, 0.5462265014648438, 0.42174822092056274, -0.0024788854643702507, 0.5467677116394043, 0.390586256980896, 6.544792995555326e-05, 0.5171080231666565, 0.544918417930603, -0.007894712500274181, 0.5122643709182739, 0.45239439606666565, -0.01804245635867119, 0.5089622139930725, 0.3991992473602295, -0.021063009276986122, 0.5064471960067749, 0.36338844895362854, -0.020462602376937866, 0.48992589116096497, 0.5567356944084167, -0.010892598889768124, 0.47380074858665466, 0.47767722606658936, -0.019478926435112953, 0.46227777004241943, 0.4343319535255432, -0.02124791033565998, 0.4544845223426819, 0.40276646614074707, -0.019986344501376152, 0.470110148191452, 0.587461531162262, -0.011832129210233688, 0.4475809931755066, 0.5389936566352844, -0.01701880805194378, 0.43377864360809326, 0.5176554322242737, -0.016735706478357315, 0.4235991835594177, 0.4969728887081146, -0.014246146194636822]"
[],"[0.5176843404769897, 0.7478997111320496, 3.4032376561299316e-07, 0.5571119785308838, 0.7014940977096558, 0.0007893617148511112, 0.573387861251831, 0.6430889368057251, -0.0018655237508937716, 0.5832991600036621, 0.5885941982269287, -0.004813262261450291, 0.5884655714035034, 0.5484479069709778, -0.009034312330186367, 0.5558412075042725, 0.5775348544120789, -0.01882799342274666, 0.5610571503639221, 0.49172669649124146, -0.028390588238835335, 0.5612738728523254, 0.44076722860336304, -0.03118458390235901, 0.5624141097068787, 0.4030703008174896, -0.03289191424846649, 0.5254480838775635, 0.5686011910438538, -0.02471902035176754, 0.5186899304389954, 0.4738270044326782, -0.03931708261370659, 0.512841522693634, 0.41427353024482727, -0.04661206528544426, 0.5084332823753357, 0.3700716495513916, -0.05049041286110878, 0.4975495934486389, 0.5818782448768616, -0.02910156548023224, 0.47662633657455444, 0.49852505326271057, -0.04336550459265709, 0.46119898557662964, 0.45143580436706543, -0.050460055470466614, 0.4499494433403015, 0.4161250591278076, -0.0539560429751873, 0.47694817185401917, 0.6142646074295044, -0.031926922500133514, 0.455064058303833, 0.5619714856147766, -0.04281071946024895, 0.44254839420318604, 0.5383432507514954, -0.046213891357183456, 0.4334586262702942, 0.5167577266693115, -0.047432828694581985]"
[],"[0.5471130609512329, 0.7944887280464172, 4.875307695328956e-07, 0.5890859365463257, 0.7660474181175232, -0.008581344969570637, 0.6077786684036255, 0.7178686261177063, -0.01768757961690426, 0.6185961365699768, 0.6709498763084412, -0.02465403452515602, 0.6274097561836243, 0.6307107210159302, -0.03255777806043625, 0.5817731022834778, 0.6232756972312927, -0.03670315071940422, 0.5990078449249268, 0.5347529649734497, -0.05358794331550598, 0.6131898760795593, 0.48189812898635864, -0.06100625917315483, 0.626711905002594, 0.4453572630882263, -0.06545393168926239, 0.5527452230453491, 0.6106765866279602, -0.0402681827545166, 0.557212769985199, 0.5070573091506958, -0.06523223221302032, 0.5626924633979797, 0.4408928155899048, -0.0787246823310852, 0.5696286559104919, 0.3946596086025238, -0.08550737798213959, 0.5253610014915466, 0.621918261051178, -0.0419623963534832, 0.5170042514801025, 0.5295029282569885, -0.06231112405657768, 0.5146006941795349, 0.4626705050468445, -0.07254857569932938, 0.5168452858924866, 0.4078025221824646, -0.07741144299507141, 0.5027964115142822, 0.6543112397193909, -0.042536411434412, 0.4809989929199219, 0.6016289591789246, -0.05857900157570839, 0.47027963399887085, 0.5680367350578308, -0.06446555256843567, 0.4632887542247772, 0.5407348275184631, -0.0662613958120346]"
[],"[0.5175491571426392, 0.7188970446586609, 2.7671424618347373e-07, 0.5617328882217407, 0.6777714490890503, -0.0031551059801131487, 0.5822790861129761, 0.620647668838501, -0.004150691442191601, 0.59332275390625, 0.564204752445221, -0.004871914628893137, 0.6001416444778442, 0.5240536332130432, -0.005835322197526693, 0.5627813339233398, 0.5367782711982727, -0.010056700557470322, 0.5635398626327515, 0.4484729766845703, -0.01367039605975151, 0.5609524250030518, 0.3980535864830017, -0.013117445632815361, 0.5589633584022522, 0.363053560256958, -0.012598205357789993, 0.5329117774963379, 0.5285384058952332, -0.01174891646951437, 0.5312983393669128, 0.43864676356315613, -0.017370499670505524, 0.5294013619422913, 0.3855758309364319, -0.019504819065332413, 0.5276333093643188, 0.3480908274650574, -0.01977037452161312, 0.504863977432251, 0.5400416254997253, -0.013384045101702213, 0.4904480576515198, 0.46383437514305115, -0.02042667753994465, 0.4790499210357666, 0.41995054483413696, -0.024898463860154152, 0.4694331884384155, 0.3877328336238861, -0.02678164653480053, 0.4813806414604187, 0.5700682401657104, -0.014495990239083767, 0.4578979015350342, 0.5214459896087646, -0.02164410799741745, 0.44085612893104553, 0.494285523891449, -0.025126246735453606, 0.4281710982322693, 0.4716763496398926, -0.025871573016047478]"
[],"[0.5069726705551147, 0.7249216437339783, 2.6029701416518947e-07, 0.5541816353797913, 0.6859683990478516, -0.003991014324128628, 0.578302264213562, 0.6261202096939087, -0.004282232839614153, 0.5926406383514404, 0.5710170269012451, -0.004007406998425722, 0.6035981774330139, 0.5305955410003662, -0.003779691644012928, 0.5614528656005859, 0.54278165102005, -0.009375069290399551, 0.5695375204086304, 0.4604586064815521, -0.012212893925607204, 0.5722038149833679, 0.4153577983379364, -0.010998309589922428, 0.5735541582107544, 0.3845489025115967, -0.009854180738329887, 0.5306686758995056, 0.532404363155365, -0.010512074455618858, 0.5291815996170044, 0.44375184178352356, -0.01575521007180214, 0.527572751045227, 0.3907688558101654, -0.01800665073096752, 0.525117814540863, 0.3551962971687317, -0.018017590045928955, 0.5027730464935303, 0.5430915355682373, -0.01172671839594841, 0.48946547508239746, 0.4664616584777832, -0.018201718106865883, 0.4796324372291565, 0.4206659495830536, -0.02344222366809845, 0.47102442383766174, 0.38630664348602295, -0.025807835161685944, 0.480496883392334, 0.57333904504776, -0.012529965490102768, 0.4601345956325531, 0.523341953754425, -0.019322505220770836, 0.44490480422973633, 0.4940716326236725, -0.02295404113829136, 0.4334391951560974, 0.4697054624557495, -0.02370917610824108]"
[],"[0.5093873739242554, 0.7359217405319214, 3.0536472195308306e-07, 0.5569434762001038, 0.6976531147956848, 0.001933082938194275, 0.5803747773170471, 0.6394748687744141, 0.006346544716507196, 0.596464991569519, 0.5850971341133118, 0.011025679297745228, 0.6075423955917358, 0.5450858473777771, 0.016014330089092255, 0.5644494295120239, 0.5559954047203064, 0.000313598255161196, 0.5784394145011902, 0.4730221927165985, 0.0018833483336493373, 0.5844789147377014, 0.42890140414237976, 0.0058980947360396385, 0.5882014036178589, 0.39810046553611755, 0.008984732441604137, 0.5345298647880554, 0.5395013093948364, -0.0008865452255122364, 0.5403100252151489, 0.4499204754829407, -0.004803178366273642, 0.5420432090759277, 0.39577987790107727, -0.007643141783773899, 0.5413454174995422, 0.3592126965522766, -0.007542775012552738, 0.5058030486106873, 0.5455213785171509, -0.0014103192370384932, 0.4955880045890808, 0.46931666135787964, -0.006471678614616394, 0.4866078495979309, 0.4250158667564392, -0.011390174739062786, 0.478982537984848, 0.39299172163009644, -0.012954844161868095, 0.4825325012207031, 0.5725551247596741, -0.0008058464154601097, 0.462176114320755, 0.5202107429504395, -0.005334835033863783, 0.44774922728538513, 0.4923955798149109, -0.008131822571158409, 0.4370565712451935, 0.4674908220767975, -0.008065464906394482]"
[],"[0.5095632672309875, 0.7571561932563782, 2.1574251718448068e-07, 0.5592988729476929, 0.7153909206390381, 0.012073507532477379, 0.5835444331169128, 0.6552919149398804, 0.021902110427618027, 0.5990774631500244, 0.5967249870300293, 0.032287754118442535, 0.6103947162628174, 0.5557848811149597, 0.044059500098228455, 0.566935122013092, 0.5735167860984802, 0.003847467480227351, 0.5799475312232971, 0.4840078353881836, 0.008892294950783253, 0.5843194723129272, 0.43609723448753357, 0.0192136000841856, 0.586898922920227, 0.40409034490585327, 0.027912728488445282, 0.5365444421768188, 0.55545973777771, 0.0029819447081536055, 0.5404885411262512, 0.459539532661438, -0.00044426493695937097, 0.5405777096748352, 0.40446436405181885, 0.003588070161640644, 0.5383338332176208, 0.3684985041618347, 0.010603590868413448, 0.5064098238945007, 0.5590868592262268, 0.0046235485933721066, 0.49599677324295044, 0.47720980644226074, 0.0012290620943531394, 0.4878762364387512, 0.4290897846221924, 0.004372795112431049, 0.48111823201179504, 0.3969488739967346, 0.010545913130044937, 0.482749879360199, 0.5862924456596375, 0.008686639368534088, 0.4638465344905853, 0.5317721962928772, 0.010361031629145145, 0.4512863755226135, 0.5033071041107178, 0.014635716564953327, 0.4423976540565491, 0.4791470170021057, 0.020888637751340866]"
"[0.5206129550933838, 0.741965115070343, 3.033858604339912e-07, 0.5644394159317017, 0.7165591716766357, -0.016648070886731148, 0.5893354415893555, 0.6681196689605713, -0.02540031634271145, 0.5976306200027466, 0.6145366430282593, -0.031171921640634537, 0.5972009301185608, 0.5714272856712341, -0.037407975643873215, 0.5721389055252075, 0.5805977582931519, -0.031350668519735336, 0.5880422592163086, 0.5022903084754944, -0.04205217957496643, 0.5973135828971863, 0.45642587542533875, -0.047452475875616074, 0.6034719347953796, 0.42164677381515503, -0.05135966092348099, 0.542267918586731, 0.5592026114463806, -0.029633086174726486, 0.5487630367279053, 0.469479501247406, -0.045483045279979706, 0.5509438514709473, 0.40788671374320984, -0.05583375692367554, 0.5517288446426392, 0.36267054080963135, -0.0625956729054451, 0.512831449508667, 0.5575798749923706, -0.02818506769835949, 0.5138574838638306, 0.47164463996887207, -0.04381705820560455, 0.514858067035675, 0.41079095005989075, -0.056048858910799026, 0.5146740078926086, 0.36533915996551514, -0.06360220164060593, 0.4879882335662842, 0.5732772350311279, -0.026814809069037437, 0.47805020213127136, 0.5021814107894897, -0.04181442782282829, 0.4701182246208191, 0.4560737609863281, -0.05121616646647453, 0.4646242558956146, 0.41712671518325806, -0.05672243982553482]",[]
"[0.5607482194900513, 0.7726109027862549, 2.813288801917224e-07, 0.5200102925300598, 0.7194297909736633, -0.0013432325795292854, 0.49403101205825806, 0.6384706497192383, -0.003403499722480774, 0.4735637605190277, 0.5713152289390564, -0.004907400347292423, 0.45603328943252563, 0.5314182639122009, -0.006147840991616249, 0.5214261412620544, 0.5675302743911743, -0.009313422255218029, 0.49932873249053955, 0.46978622674942017, -0.01890229806303978, 0.48570653796195984, 0.4121053218841553, -0.02379111386835575, 0.4758591949939728, 0.3685319423675537, -0.025889532640576363, 0.5483648777008057, 0.5610411763191223, -0.014086333103477955, 0.5447826385498047, 0.4424666166305542, -0.02301793359220028, 0.5430598258972168, 0.3682844340801239, -0.02845228835940361, 0.5436438918113708, 0.3122553825378418, -0.03075285255908966, 0.5749942064285278, 0.5752787590026855, -0.01885151118040085, 0.5895295739173889, 0.4719262421131134, -0.030110569670796394, 0.6006331443786621, 0.4115452170372009, -0.03811505809426308, 0.6110305190086365, 0.36563581228256226, -0.04119595140218735, 0.5992349982261658, 0.6059871315956116, -0.022524330765008926, 0.6186038851737976, 0.5390517115592957, -0.03148700296878815, 0.6328369975090027, 0.499883234500885, -0.03389948606491089, 0.6467704772949219, 0.46674811840057373, -0.033386215567588806]",[]
