Left,Right
"[0.6047307252883911, 0.6537947654724121, 4.1578522314011934e-07, 0.6343202590942383, 0.5991238355636597, -0.025174841284751892, 0.6421179175376892, 0.5221222639083862, -0.037356019020080566, 0.6447448134422302, 0.45417943596839905, -0.046902310103178024, 0.6676222681999207, 0.4077090620994568, -0.05627686530351639, 0.5805533528327942, 0.44543299078941345, -0.01982104778289795, 0.5638262033462524, 0.37094971537590027, -0.03348816931247711, 0.5517030954360962, 0.32369089126586914, -0.04545382782816887, 0.5410171747207642, 0.2835036516189575, -0.05471552163362503, 0.5540305376052856, 0.460779070854187, -0.017625009641051292, 0.5320520401000977, 0.37853026390075684, -0.03043556399643421, 0.5190065503120422, 0.3220539093017578, -0.04203508049249649, 0.5082437992095947, 0.27342745661735535, -0.05004025250673294, 0.5340338945388794, 0.49180367588996887, -0.0182066448032856, 0.5099465250968933, 0.416833758354187, -0.0316372811794281, 0.49860894680023193, 0.36793118715286255, -0.04184907302260399, 0.49005842208862305, 0.3239116966724396, -0.048039935529232025, 0.5199993848800659, 0.5367125868797302, -0.020998764783143997, 0.49598953127861023, 0.48476243019104004, -0.033831752836704254, 0.4836865961551666, 0.4484728276729584, -0.04056456685066223, 0.47404322028160095, 0.41112056374549866, -0.04422794654965401]",[]
"[0.6055771112442017, 0.6585049033164978, 3.8481701380987943e-07, 0.631829559803009, 0.5965206027030945, -0.021200671792030334, 0.6380452513694763, 0.5144541263580322, -0.031100530177354813, 0.641270101070404, 0.4438207745552063, -0.03973716124892235, 0.6648245453834534, 0.3989679515361786, -0.0482465960085392, 0.5760709643363953, 0.4379899203777313, -0.012928470969200134, 0.5610767006874084, 0.3609713912010193, -0.02531745471060276, 0.5495306253433228, 0.31290727853775024, -0.036980561912059784, 0.5391530990600586, 0.2725338339805603, -0.045912984758615494, 0.552476704120636, 0.4542390704154968, -0.013134865090250969, 0.5311378240585327, 0.37046170234680176, -0.024025509133934975, 0.5174524784088135, 0.31381088495254517, -0.03416700288653374, 0.5061442255973816, 0.26585760712623596, -0.0414891391992569, 0.5348188281059265, 0.48673015832901, -0.01635112427175045, 0.510543942451477, 0.41105103492736816, -0.027310211211442947, 0.49834248423576355, 0.3597688674926758, -0.035736121237277985, 0.48955410718917847, 0.3131207227706909, -0.041419241577386856, 0.5210106372833252, 0.533616304397583, -0.021964361891150475, 0.49566885828971863, 0.48457852005958557, -0.0322384238243103, 0.48213502764701843, 0.44759124517440796, -0.03732061758637428, 0.47132834792137146, 0.40935686230659485, -0.04045910760760307]",[]
"[0.5830209255218506, 0.6516643166542053, 3.555977343694394e-07, 0.6150113344192505, 0.5886189341545105, -0.017707059159874916, 0.6251146197319031, 0.5054814219474792, -0.02653856948018074, 0.6314425468444824, 0.43964052200317383, -0.0346541665494442, 0.651570737361908, 0.3986852467060089, -0.042931970208883286, 0.568056046962738, 0.42391493916511536, -0.014849996194243431, 0.553317129611969, 0.3444281816482544, -0.02724136784672737, 0.5423747301101685, 0.2964070439338684, -0.03793827444314957, 0.5329573750495911, 0.2539151906967163, -0.04627198353409767, 0.5432747602462769, 0.4382706880569458, -0.01697404496371746, 0.5222311615943909, 0.35200250148773193, -0.028108708560466766, 0.5088444948196411, 0.2950417101383209, -0.03773139417171478, 0.4976935386657715, 0.24567432701587677, -0.04499717056751251, 0.5247675776481628, 0.4696832597255707, -0.021491246297955513, 0.5016576647758484, 0.391498327255249, -0.03287576511502266, 0.4902336299419403, 0.3397560715675354, -0.04082474112510681, 0.4814825654029846, 0.29301512241363525, -0.046398013830184937, 0.5102114677429199, 0.5155694484710693, -0.02799876593053341, 0.4849090576171875, 0.4640704095363617, -0.03888092190027237, 0.47151365876197815, 0.42510631680488586, -0.04408068582415581, 0.4608360826969147, 0.3854815661907196, -0.0474393330514431]",[]
"[0.5959150195121765, 0.6939846873283386, 2.578948112841317e-07, 0.622355043888092, 0.6273300647735596, -0.016956713050603867, 0.629665732383728, 0.5437678694725037, -0.023330850526690483, 0.6346153616905212, 0.4726976752281189, -0.029602913185954094, 0.6547609567642212, 0.4291974902153015, -0.03534478694200516, 0.5713210105895996, 0.4646414816379547, 0.0003593547153286636, 0.5517256855964661, 0.38953113555908203, -0.007783371955156326, 0.5393635630607605, 0.34762322902679443, -0.017480215057730675, 0.5293112993240356, 0.311320424079895, -0.025269191712141037, 0.5471403002738953, 0.47890597581863403, -0.0005427703727036715, 0.5228706002235413, 0.39537468552589417, -0.007680289912968874, 0.5076461434364319, 0.3418363332748413, -0.017248960211873055, 0.4961600601673126, 0.2978334426879883, -0.024334726855158806, 0.5282382369041443, 0.5064576268196106, -0.004767700098454952, 0.5024672150611877, 0.4323238134384155, -0.012850625440478325, 0.4896724820137024, 0.38501057028770447, -0.020406844094395638, 0.48125338554382324, 0.3443044424057007, -0.025552108883857727, 0.5126881003379822, 0.5469644069671631, -0.011294210329651833, 0.4889239966869354, 0.4959661066532135, -0.018463538959622383, 0.4768635630607605, 0.46140071749687195, -0.021692847833037376, 0.4682774245738983, 0.4275968670845032, -0.023716887459158897]",[]
"[0.5918042063713074, 0.6855902075767517, 3.304585902696999e-07, 0.6243257522583008, 0.6193006038665771, -0.018677962943911552, 0.6334726810455322, 0.5323606729507446, -0.026692835614085197, 0.6387836933135986, 0.46196290850639343, -0.03430156037211418, 0.6599692106246948, 0.41623783111572266, -0.04156520590186119, 0.5722690224647522, 0.4479614794254303, -0.006913689896464348, 0.5561976432800293, 0.3698432743549347, -0.01802339404821396, 0.5445191264152527, 0.3228375315666199, -0.029152952134609222, 0.5340903997421265, 0.281213641166687, -0.03788027912378311, 0.5486723780632019, 0.46221333742141724, -0.007881559431552887, 0.5275962948799133, 0.3768426179885864, -0.01757000759243965, 0.5149672627449036, 0.32151859998703003, -0.027508234605193138, 0.5043617486953735, 0.27360209822654724, -0.034849684685468674, 0.5306947827339172, 0.49241214990615845, -0.011922520585358143, 0.5075721144676208, 0.41802841424942017, -0.02169908583164215, 0.49600571393966675, 0.36879754066467285, -0.028791971504688263, 0.48694559931755066, 0.3242132067680359, -0.03367216885089874, 0.5161244869232178, 0.5367666482925415, -0.018403571099042892, 0.49380770325660706, 0.48459482192993164, -0.027209447696805, 0.48196613788604736, 0.4461405277252197, -0.03097173571586609, 0.4719661772251129, 0.40750181674957275, -0.03333558142185211]",[]
"[0.49078649282455444, 0.8150240182876587, 9.736348971500774e-08, 0.5333484411239624, 0.802280068397522, 0.0006702736136503518, 0.5619590878486633, 0.7488985657691956, -0.0041998629458248615, 0.5703713893890381, 0.6875080466270447, -0.0073172347620129585, 0.562188982963562, 0.6430638432502747, -0.010366772301495075, 0.5526959300041199, 0.7306607961654663, -0.033402036875486374, 0.5814728140830994, 0.633959174156189, -0.04229948669672012, 0.5874622464179993, 0.6366414427757263, -0.039824631065130234, 0.5831887125968933, 0.6621494889259338, -0.03453120216727257, 0.52892005443573, 0.7049697041511536, -0.03473420441150665, 0.5588733553886414, 0.5994815826416016, -0.04222320765256882, 0.5686078071594238, 0.6065115332603455, -0.037871506065130234, 0.5646539330482483, 0.6337595582008362, -0.03287646919488907, 0.5066631436347961, 0.6850965619087219, -0.03345637395977974, 0.5357912182807922, 0.585911750793457, -0.036191146820783615, 0.5483598113059998, 0.5968278646469116, -0.029189983382821083, 0.5485174655914307, 0.6223727464675903, -0.023543912917375565, 0.48856601119041443, 0.6750892400741577, -0.030860554426908493, 0.511162519454956, 0.6055822372436523, -0.03171095997095108, 0.5250710248947144, 0.6115965843200684, -0.02566903457045555, 0.5296258330345154, 0.6312655210494995, -0.02001020684838295]","[0.5829448699951172, 0.681020975112915, 2.726382035689312e-07, 0.6198008060455322, 0.6182810068130493, -0.018238792195916176, 0.6325147151947021, 0.5297690629959106, -0.025382574647665024, 0.6385329365730286, 0.4556412994861603, -0.03205585107207298, 0.6590279340744019, 0.40877747535705566, -0.03872407600283623, 0.5749688744544983, 0.4410889446735382, -0.008655175566673279, 0.5578092932701111, 0.36122453212738037, -0.018984798341989517, 0.5450510382652283, 0.31439483165740967, -0.02902376651763916, 0.5340326428413391, 0.2736833691596985, -0.037054792046546936, 0.550017774105072, 0.45681652426719666, -0.009723636321723461, 0.530028760433197, 0.3716069757938385, -0.018873032182455063, 0.517121434211731, 0.31644463539123535, -0.02798648551106453, 0.5065441131591797, 0.2698780298233032, -0.03492136672139168, 0.5312680602073669, 0.48845577239990234, -0.013765533454716206, 0.5092719197273254, 0.4127323627471924, -0.023277638480067253, 0.49742600321769714, 0.3638865351676941, -0.03014836087822914, 0.4885888695716858, 0.3198528587818146, -0.03519090265035629, 0.5159908533096313, 0.5329872369766235, -0.020177651196718216, 0.4943152070045471, 0.4804280996322632, -0.029357198625802994, 0.4822752773761749, 0.4430820047855377, -0.033600956201553345, 0.4722406268119812, 0.4044480323791504, -0.03647586330771446]"
"[0.4830648899078369, 0.822238564491272, 3.7630641713803925e-08, 0.5305507779121399, 0.8115567564964294, -0.0004617410304490477, 0.5608882308006287, 0.7542708516120911, -0.0051081208512187, 0.567231297492981, 0.6853395700454712, -0.007961598224937916, 0.5562838912010193, 0.6419037580490112, -0.01001511886715889, 0.5542510747909546, 0.7295486927032471, -0.02896103449165821, 0.5845324993133545, 0.6333824396133423, -0.038566891103982925, 0.5867518186569214, 0.641597330570221, -0.038469135761260986, 0.580176591873169, 0.6663751602172852, -0.03493933752179146, 0.5277256965637207, 0.7007389664649963, -0.02983458712697029, 0.5594403147697449, 0.5923861861228943, -0.03702319785952568, 0.5678138732910156, 0.6029093861579895, -0.03429992124438286, 0.5640867352485657, 0.6328533291816711, -0.03029431402683258, 0.5044887661933899, 0.679473340511322, -0.028608735650777817, 0.5352102518081665, 0.5823640823364258, -0.03175899758934975, 0.5492902398109436, 0.5944472551345825, -0.028002949431538582, 0.5509158372879028, 0.620522141456604, -0.024740679189562798, 0.48787009716033936, 0.6675105690956116, -0.02622283808887005, 0.5143003463745117, 0.6056457757949829, -0.027420347556471825, 0.5295976400375366, 0.6158095002174377, -0.02353730984032154, 0.5346561670303345, 0.6355111002922058, -0.019727373495697975]","[0.5795247554779053, 0.6839048862457275, 2.6199461444775807e-07, 0.6188178062438965, 0.620064914226532, -0.017498239874839783, 0.6311361193656921, 0.5311738848686218, -0.02329001948237419, 0.6362993717193604, 0.4568631052970886, -0.02872595563530922, 0.6568745374679565, 0.41136929392814636, -0.03421223536133766, 0.5730926990509033, 0.4452696442604065, -0.00566943921148777, 0.55534827709198, 0.3668651580810547, -0.015414155088365078, 0.5416361689567566, 0.3193668723106384, -0.025144927203655243, 0.5301570892333984, 0.27870792150497437, -0.03308354318141937, 0.5461074709892273, 0.4589460492134094, -0.006661426275968552, 0.5244831442832947, 0.3723280727863312, -0.015743544325232506, 0.5114719271659851, 0.3180254399776459, -0.02539644204080105, 0.5008832216262817, 0.2718878984451294, -0.03242557495832443, 0.5263076424598694, 0.4899475872516632, -0.010549579747021198, 0.5027413964271545, 0.4152107238769531, -0.0202372707426548, 0.49139392375946045, 0.36659473180770874, -0.02757587656378746, 0.4827412962913513, 0.3212379217147827, -0.03274962678551674, 0.5110259056091309, 0.5346431732177734, -0.016653073951601982, 0.4896213710308075, 0.4836167097091675, -0.025952843949198723, 0.4790136218070984, 0.4469296336174011, -0.03032039664685726, 0.47036001086235046, 0.40855008363723755, -0.03313756361603737]"
"[0.4713342785835266, 0.8179918527603149, 2.5651221147171555e-09, 0.5194681286811829, 0.8044399619102478, -0.002795413602143526, 0.5500873327255249, 0.7524933218955994, -0.008110656403005123, 0.5567517876625061, 0.689130961894989, -0.011986187659204006, 0.5443816184997559, 0.6452842950820923, -0.014921401627361774, 0.5485506057739258, 0.7126653790473938, -0.024723710492253304, 0.5792694091796875, 0.6247174739837646, -0.03616902232170105, 0.5732375383377075, 0.6257023215293884, -0.03906929865479469, 0.5628743767738342, 0.6460443735122681, -0.03772011026740074, 0.5211525559425354, 0.6851075887680054, -0.025448914617300034, 0.5500905513763428, 0.5836151242256165, -0.03307482600212097, 0.5497899651527405, 0.5951659679412842, -0.03083140030503273, 0.5433664321899414, 0.6275542378425598, -0.027326498180627823, 0.4965110719203949, 0.6680383682250977, -0.024944737553596497, 0.5247600078582764, 0.5825851559638977, -0.029328787699341774, 0.5292854905128479, 0.5995402932167053, -0.023308902978897095, 0.5248857140541077, 0.6291132569313049, -0.018061602488160133, 0.4785333275794983, 0.6605269312858582, -0.0239042267203331, 0.5045377612113953, 0.6036511063575745, -0.025281192734837532, 0.512660562992096, 0.6184530854225159, -0.01890827715396881, 0.5126566290855408, 0.6402344703674316, -0.013098213821649551]","[0.5766248106956482, 0.6910319328308105, 2.6388693186163437e-07, 0.6152758002281189, 0.6268664598464966, -0.01847260072827339, 0.627490222454071, 0.5355918407440186, -0.023827124387025833, 0.6307058334350586, 0.4589442014694214, -0.028557246550917625, 0.6513572931289673, 0.4133373498916626, -0.033042196184396744, 0.5668035745620728, 0.45128729939460754, -0.0032916306518018246, 0.5491304397583008, 0.3742886781692505, -0.012408615089952946, 0.537582278251648, 0.32811275124549866, -0.022145716473460197, 0.5286316275596619, 0.2887878119945526, -0.0300114955753088, 0.540280282497406, 0.4652421474456787, -0.003198482794687152, 0.5173249244689941, 0.3798780143260956, -0.011442802846431732, 0.5047585964202881, 0.3258300721645355, -0.021298052743077278, 0.49501729011535645, 0.27899134159088135, -0.02849993295967579, 0.5207653641700745, 0.49513310194015503, -0.006289671175181866, 0.4959719479084015, 0.4215235114097595, -0.016013089567422867, 0.4845048487186432, 0.3732092082500458, -0.023996364325284958, 0.47615334391593933, 0.3281920850276947, -0.02939089573919773, 0.505486786365509, 0.5391572713851929, -0.011667059734463692, 0.4828544855117798, 0.4897122085094452, -0.0209671463817358, 0.4714834690093994, 0.4535430669784546, -0.025673773139715195, 0.4624539911746979, 0.41570156812667847, -0.028638601303100586]"
"[0.46530091762542725, 0.7992346882820129, 4.640189033011666e-08, 0.5100401639938354, 0.7794990539550781, 0.0018227016553282738, 0.5405194759368896, 0.7249462604522705, -0.002907946240156889, 0.5551738739013672, 0.6644566059112549, -0.007404560223221779, 0.5496971607208252, 0.6174187064170837, -0.012280017137527466, 0.5448968410491943, 0.6938425302505493, -0.023857025429606438, 0.5719818472862244, 0.6027458906173706, -0.034700263291597366, 0.5755563974380493, 0.5870144367218018, -0.03845514357089996, 0.5700455904006958, 0.5946432948112488, -0.03837517276406288, 0.5186538696289062, 0.6719335317611694, -0.027541672810912132, 0.5429131388664246, 0.5700526833534241, -0.03485690802335739, 0.5459887385368347, 0.5779786705970764, -0.03370241820812225, 0.5411252379417419, 0.6069490909576416, -0.032307542860507965, 0.4929790198802948, 0.6555287837982178, -0.029394663870334625, 0.520678699016571, 0.5616407990455627, -0.03334993124008179, 0.5247307419776917, 0.5771188735961914, -0.026234982535243034, 0.5196844935417175, 0.6065911650657654, -0.02133062854409218, 0.47139954566955566, 0.6454820036888123, -0.03031940758228302, 0.4984457492828369, 0.5775892734527588, -0.0326942577958107, 0.5057297348976135, 0.5909945368766785, -0.025432990863919258, 0.503420889377594, 0.6155528426170349, -0.019151249900460243]","[0.579777181148529, 0.6972230672836304, 3.1927635291140177e-07, 0.6118983030319214, 0.6320921778678894, -0.021360905840992928, 0.6197850108146667, 0.5436154007911682, -0.028011925518512726, 0.6220406889915466, 0.46769821643829346, -0.03346908465027809, 0.64125657081604, 0.419457346200943, -0.03821708261966705, 0.5563339591026306, 0.46402648091316223, -0.003774461103603244, 0.5383673906326294, 0.38564160466194153, -0.013536527752876282, 0.5272870063781738, 0.3400774300098419, -0.023924829438328743, 0.518393874168396, 0.3017192482948303, -0.03199803829193115, 0.5298959612846375, 0.47981080412864685, -0.0024085126351565123, 0.5059006810188293, 0.3927552402019501, -0.011166873387992382, 0.49295198917388916, 0.3374830484390259, -0.02183431200683117, 0.48327142000198364, 0.29132503271102905, -0.029469892382621765, 0.5105702877044678, 0.5103253722190857, -0.004621913190931082, 0.4848460257053375, 0.43293678760528564, -0.015523719601333141, 0.4741380214691162, 0.3819260895252228, -0.024447763338685036, 0.4673187732696533, 0.33767956495285034, -0.030039915814995766, 0.49562710523605347, 0.5545200705528259, -0.009236214682459831, 0.47219234704971313, 0.5025526881217957, -0.019397586584091187, 0.46197810769081116, 0.4652259051799774, -0.024230418726801872, 0.45499464869499207, 0.4279458224773407, -0.026977255940437317]"
"[0.4586864113807678, 0.7753121256828308, -1.4901214484552838e-08, 0.5030336976051331, 0.7562633752822876, -0.0006715691997669637, 0.5335496068000793, 0.699953019618988, -0.007351201493293047, 0.5414649248123169, 0.6326081156730652, -0.013562585227191448, 0.5297197103500366, 0.5863640308380127, -0.02039860375225544, 0.5359117984771729, 0.667377233505249, -0.029125159606337547, 0.5555477142333984, 0.5605823397636414, -0.042522694915533066, 0.5576568245887756, 0.5540524125099182, -0.04741787165403366, 0.5544130802154541, 0.5686326026916504, -0.04821723699569702, 0.5074151158332825, 0.6459257006645203, -0.03253842517733574, 0.5279831886291504, 0.541049599647522, -0.042271994054317474, 0.5277019739151001, 0.5567280650138855, -0.04168040305376053, 0.5207722187042236, 0.5881340503692627, -0.04087522625923157, 0.48029136657714844, 0.6300520300865173, -0.03444257006049156, 0.5041650533676147, 0.5311473608016968, -0.040393728762865067, 0.5040594935417175, 0.5465442538261414, -0.034707047045230865, 0.49650639295578003, 0.5760167837142944, -0.03102056495845318, 0.4570253789424896, 0.6184849143028259, -0.035722821950912476, 0.47225135564804077, 0.543104350566864, -0.04020018130540848, 0.47217467427253723, 0.5367721319198608, -0.03669886291027069, 0.4647296667098999, 0.5406945943832397, -0.03376837074756622]","[0.570503830909729, 0.716429591178894, 3.2719287901272764e-07, 0.601649284362793, 0.6467450261116028, -0.021225472912192345, 0.6112424731254578, 0.5562641024589539, -0.02932116761803627, 0.6139203906059265, 0.4803846776485443, -0.03591366112232208, 0.6317461729049683, 0.4315226078033447, -0.04205965995788574, 0.5495166182518005, 0.4889547824859619, -0.011074239388108253, 0.5281652212142944, 0.408069908618927, -0.02199215441942215, 0.5140735507011414, 0.3620226979255676, -0.03180113807320595, 0.501520574092865, 0.3231087923049927, -0.03913762420415878, 0.5226761698722839, 0.5066580772399902, -0.009969227015972137, 0.4964647889137268, 0.41612493991851807, -0.019616084173321724, 0.4806631803512573, 0.3601859509944916, -0.029210271313786507, 0.4676094055175781, 0.3137882351875305, -0.03594372048974037, 0.5021116137504578, 0.5375975370407104, -0.011782377026975155, 0.4768241047859192, 0.45690077543258667, -0.02159692347049713, 0.4643450677394867, 0.40265148878097534, -0.029186896979808807, 0.4548204839229584, 0.355752170085907, -0.03414057567715645, 0.48523658514022827, 0.5806840062141418, -0.015953239053487778, 0.46364521980285645, 0.5240048766136169, -0.0239848755300045, 0.4536953568458557, 0.48560401797294617, -0.027095360681414604, 0.44576191902160645, 0.44931545853614807, -0.02887585014104843]"
